id,screen_name,name,location,description,created_at,friends_count,followers_count,statuses_count,favourites_count
3071570176,arzuerdem2015,arzu erdem,"İstanbul, Türkiye","MHP İstanbul Milletvekili , Dilbilimci, Kimsed Kurucu Başkanı , Avrupa Gelişim Akademisi Kurucusu 
Resmi web sayfası :http://t.co/NiGauQXKVU",Thu Mar 05 03:58:29 +0000 2015,405,3174,3387,3491
3071173073,ahmetyildirihdp,Doç.DrAhmet Yıldırım,"Muş, Diyarbakır","HDP Muş Milletvekili,                                     Doç. Dr. Dicle Üniv. Öğr. Üyesi,",Wed Mar 04 23:40:02 +0000 2015,57,2513,98,16
3067516330,ibrahimmturhan,İbrahim Turhan,İZMİR,İZMİR AK Parti Milletvekili Doç. Dr. İbrahim Turhan,Tue Mar 03 09:06:00 +0000 2015,105,12901,841,129
3065996027,NureddinNebati,Nureddin NEBATİ,Ankara,Ak Parti Genel Başkan Yardımcısı - Şanlıurfa Milletvekili,Mon Mar 02 14:10:00 +0000 2015,3,10954,158,1
3064036168,ozegen51,Erdoğan ÖZEGEN,,,Thu Feb 26 17:37:42 +0000 2015,67,9172,54,36
3063558783,SeyitAhmetGocer,Seyit Ahmet Göçer,KIRIKKALE,"Kırıkkale Milletvekili, Milliyetçi Hareket Partisi MYK Üyesi
Resmî Twitter Hesabı",Wed Feb 25 22:43:34 +0000 2015,37,607,793,166
3062441200,DurmusYilmazMHP,Durmuş Yılmaz,Türkiye,MHP Uşak Milletvekili - Merkez Bankası eski Başkanı - İktisatçı,Wed Feb 25 15:59:19 +0000 2015,1101,4470,78,86
3055572752,bakisimsekmhp,Baki Şimşek,Mersin,Milliyetçi Hareket Partisi Mersin Milletvekili Harita Mühendisi #BizimleYürüMersin #BizimleYürüTürkiye #MHP,Mon Mar 02 08:47:42 +0000 2015,265,872,605,70
3053238743,enverfehmioglu,Enver FEHMİOĞLU,Bingöl,25. Dönem AK Parti Bingöl Milletvekili,Sun Feb 22 17:21:49 +0000 2015,296,1546,609,277
3052830911,remziyesivaci,Remziye Sıvacı,Afyonkarahisar,Adalet ve Kalkınma Partisi Afyonkarahisar Milletvekili,Sun Feb 22 14:45:55 +0000 2015,12,164,5,0
3052753632,MustafaYun,Mustafa Yün,,,Sun Mar 01 15:15:05 +0000 2015,73,210,115,0
3047496874,AkcinarSeher,Seher Akçınar Bayar,,"HDP Erzurum Milletvekili,                               Sosyolog - İnsan Hakları Aktivisti",Fri Feb 20 17:51:59 +0000 2015,214,18183,472,11
3044835988,AvZbirkan,Zekeriya Birkan,,Ak Parti Bursa Milletvekili-Avukat-TBMM,Thu Feb 19 06:43:43 +0000 2015,71,234,75,10
3044714638,eminakbasoglu,M.Emin Akbaşoğlu,,AK Parti Çankırı Milletvekili,Wed Feb 18 17:55:23 +0000 2015,18,842,296,2
3043664421,ayhanyilmaz06,Ayhan Yılmaz,,Ak Parti Ankara Milletvekili,Tue Feb 17 21:41:37 +0000 2015,91,4384,833,395
3042891226,drrecepcetin,Recep Çetin,,25.Dönem MHP Balıkesir Milletvekili,Tue Feb 17 15:57:29 +0000 2015,73,157,366,5
3037304259,makif_yilmaz,Mehmet Akif YILMAZ,Kocaeli,AK Parti 25. Dönem Kocaeli Milletvekili - Eğitimci,Sat Feb 14 18:45:05 +0000 2015,7,2553,262,0
3034777359,NuriOkutanMHP,Nuri Okutan,,"Taşova,Harmancık,Bahçesaray, Narman, Kelkit'te Kaymakam; Siirt,Sakarya,Trabzon, Ş.Urfa'da Vali; 
25. Dönem 
MHP Isparta Milletvekili",Fri Feb 13 14:56:30 +0000 2015,179,3636,985,338
3033346047,HusnuyeErdogan,Dr. Hüsnüye Erdoğan,Konya,25. Dönem Ak Parti Konya Milletvekili,Thu Feb 12 20:32:48 +0000 2015,129,2087,797,1
3033275633,yildirimturkmhp,Cemil Yıldırım TÜRK,"Kırşehir, Türkiye",Milliyetçi Hareket Partisi Kırşehir Milletvekili#MHP,Thu Feb 12 19:37:08 +0000 2015,116,406,338,31
3029890878,selimdursun06,SELİM DURSUN,Türkiye,"Sivas Milletvekili
bilgi@selimdursun.com.tr",Thu Feb 19 12:58:08 +0000 2015,77,238,148,27
3029062577,drfarukozlu,Dr. Faruk Özlü,,Ak Parti Düzce Milletveili Adayı,Tue Feb 10 23:54:05 +0000 2015,27,65,7,28
3028845063,taskinaktas65,Dr. Taskin Aktas,,,Tue Feb 10 21:58:02 +0000 2015,40,188,23,28
3028678156,KarasayarOrhan,Orhan KARASAYAR ,,23. ve 24. Dönem Ak Parti Hatay Milletvekili    25. Dönem Ak Parti Hatay 2. Sıra Milletvekili Adayı,Tue Feb 10 19:36:29 +0000 2015,105,482,32,6
3027175600,drkadrikaraoglu,Kadri Karaoğlu,,Milliyetçi Hareket Partisi Bayburt Milletvekili Aday Adayı,Mon Feb 09 20:27:01 +0000 2015,20,97,2,1
3026673904,NihatYesilCHP,Nihat Yeşil,,,Mon Feb 09 16:09:13 +0000 2015,135,6281,141,1
3025338878,leylasahinusta,Dr. Leyla Şahin Usta,25. Dönem Konya Milletvekili,leylasahinusta@gmail.com,Wed Feb 18 09:54:12 +0000 2015,97,2433,461,42
3023969232,torunkani,Dr. C. Kani Torun,,"Doctors Worldwide (Yeryüzü Doktorları) CEO'su, Somali Eski Büyükelçisi, AK Parti Bursa Milletvekili",Tue Feb 17 13:51:01 +0000 2015,2,1144,852,113
3021618933,CDaggez,Celal Daggez,,,Fri Feb 06 16:08:49 +0000 2015,174,227,30,5
3021299620,ozcanpurcu,Özcan Purçu ,,"CHP İzmir  Milletvekili 
Ayrımız, gayrımız yok, ezilen, yok sayılan herkes için varım. Ezilenler ezeni fark ettiğinde hayatı değiştirir.",Fri Feb 06 10:27:14 +0000 2015,2435,17536,1258,1544
3015008919,tarkanakilli,Tarkan AKILLI,Antalya - Ankara,"MHP Antalya Milletvekili - İnşaat Yüksek Mühendisi / Member of Parliament for Antalya - Civil Engineer, M.Sc.",Tue Feb 03 18:55:29 +0000 2015,407,1113,1766,6858
2979105539,orhansaribalchp,Orhan SARIBAL,Bursa,Ziraat Mühendisi-Cumhuriyet Halk Partisi Bursa Milletvekili,Thu Jan 15 00:09:50 +0000 2015,1189,1002,741,67
2977996697,muharremvarli01,Muharrem VARLI,MHP Adana Milletvekili,"Adananın gururu, Ceyhan'ın öz evladı...",Wed Jan 14 12:48:05 +0000 2015,2785,44777,259,161
2972639925,ozkan_yalim,Özkan YALIM,,,Sun Jan 11 07:15:45 +0000 2015,18,123,1,0
2967487395,birol_ertem,birol ertem,,,Thu Jan 08 09:47:43 +0000 2015,8,154,3,0
2960246843,Av_MetinCelik,Av.Metin Çelik,,AK PARTİ Kastamonu Milletvekili,Sun Jan 04 14:00:26 +0000 2015,58,1608,807,335
2943589805,auslupehlivan01,Aydın Uslupehlivan,,CHP Adana Milletvekili Aday Adayı,Sat Dec 27 10:29:29 +0000 2014,49,351,0,0
2940572229,CKafl,Cemalettin Kaflı,,,Thu Dec 25 11:19:23 +0000 2014,119,179,274,44
2927542594,_kalaycimustafa,Mustafa Kalaycı,Resmi Twitter Sayfasıdır.,MHP TBMM İdari Amiri - Konya Milletvekili,Wed Dec 17 19:04:51 +0000 2014,289,385,1,0
2924871509,MetinerBasin,Mehmet Metiner,,Adalet ve Kalkınma Partisi (AK Parti) İstanbul Milletvekili / Justice and Development Party (AK Party) Istanbul Deputy,Tue Dec 16 12:30:50 +0000 2014,462,3422,3015,3012
2885519392,oktaycanak52,Oktay Çanak,İşimiz Gücümüz ORDU,AKPARTİ ORDU 25. DÖNEM MİLLETVEKİLİ,Thu Nov 20 10:58:37 +0000 2014,285,2027,1675,1037
2865550945,55erhanusta,Erhan Usta,Ankara,"AÜ SBF, ABD Northeastern Üni.;
Devlet Planlama Teşkilatı (Kalkınma Bakanlığı)'nda 11 yıl uzmanlık ve 15 yıl üst düzey yöneticilik;
MHP Samsun Milletvekili",Sun Oct 19 17:57:33 +0000 2014,1,1080,638,4
2858736219,orhanmiroglu1,Orhan Miroğlu,Star Gazetesi ,Gazeteci-Yazar. Zerdeşt ve Hiwa'nın babası. Resmi instagram hesabı: https://t.co/OlWslcSMWE,Mon Nov 03 12:30:07 +0000 2014,214,6533,544,172
2845493183,chpaliozcan,Ali Özcan,İstanbul,CHP İstanbul Milletvekili ve Parti Meclisi Üyesi,Sun Oct 26 17:42:54 +0000 2014,379,974,252,67
2841128931,Fakibaba63,Ahmet Eşref Fakıbaba,,"Tıp Doktoru, 2004-2014 Şanlıurfa Belediye Başkanı- AK Parti 25. Dönem Şanlıurfa Milletvekili",Wed Oct 22 13:22:54 +0000 2014,104,3315,628,546
2832582101,aagraliez,Abdullah ağralı,,,Wed Oct 15 19:50:39 +0000 2014,487,890,291,45
2828377500,Dursuncicek80,Dursun ÇİÇEK,İstanbul,"Ergenekon-Balyoz Kumpas davaları mağduru İstanbul Milletvekili
Em.Kur.Albay Dr.Dursun ÇİÇEK: 
Cumhuriyetin onuru olan hukuk-adalet için irademizi gösterelim...",Tue Sep 23 17:13:52 +0000 2014,880,10885,2589,2964
2824876791,Bayazitsevde,Sevde Bayazit Kaçar,,#OnlarKonusurAkPartiYapar,Sun Oct 12 12:04:59 +0000 2014,1661,5783,2870,44
2816737247,AytunCiray,Aytun Çıray,,"CHP İzmir Milletvekili, Parti Meclisi Üyesi",Wed Oct 08 20:22:17 +0000 2014,662,5840,2331,6
2803027408,HudaKaya777,Hüda Kaya,,HDP İstanbul Milletvekili - Yazar - Aktivist - DİK Şura ve HDP MYK üyesi  http://t.co/Wfs8BdBK5t,Fri Oct 03 22:37:53 +0000 2014,674,46619,985,247
2791826296,UcarBilal20,Bilal Uçar ,Denizli - Ankara,Denizli Milletvekili - AK Parti Yerel Yönetimler Başkan Yardımcısı - Adalet Komisyonu Üyesi,Mon Sep 29 14:20:44 +0000 2014,122,3211,1030,97
2787453897,kulmustafa77_ac,Mustafa Açıkgöz,,AK PARTİ NEVŞEHİR MİLLETVEKİLİ Eczacı,Sat Sep 27 17:11:43 +0000 2014,739,12152,964,330
2785274435,TCMustafaMit,MUSTAFA MİT,Ankara ,MHP 25. Dönem Milletvekili,Fri Sep 26 11:18:47 +0000 2014,111,1240,519,146
2776168815,salimuslu__,Salim USLU,,"24. ve 25.Dönem Çorum Milletvekili, TBMM İdare Amiri, Hak-İş Onursal Genel Başkanı",Fri Sep 19 16:23:48 +0000 2014,801,358438,8809,57
2775934013,EnisBerberoglu1,Enis Berberoğlu,CHP Genel Başkan Yardımcısı,,Fri Sep 19 14:25:37 +0000 2014,765,30162,414,3
2739067203,dilanararat,DirayetDilan Taşdmir,,HDP Ağrı Milletvekili,Sun Aug 10 15:34:13 +0000 2014,447,2947,497,64
2729594101,aliozmersin,Ali Öz,,MHP Mersin Milletvekili,Wed Aug 13 14:22:18 +0000 2014,54,783,383,13
2726705524,GulizarBicer,Gülizar Bicer Karaca,,CHP Denizli Milletvekili,Sun Jul 27 20:16:55 +0000 2014,130,821,137,9
2706921675,caglardemirell,Çağlar Demirel,,HDP Diyarbakır Milletvekili,Sun Jul 13 12:27:47 +0000 2014,350,3055,210,61
2695238948,fdemetsari,Demet Sarı,,"#TBMM
 #AKPARTİ ADANA  MİLLETVEKİLİ",Thu Jul 31 09:12:27 +0000 2014,239,1935,1156,87
2655258712,dbdenizbaykal,Deniz Baykal,Resmi Twitter Hesabı,CHP Eski Genel Başkanı - Antalya Milletvekili,Mon Jun 30 03:38:55 +0000 2014,920,11767,328,0
2588180340,Av_Hakverdi,Ali Haydar Hakverdi,,CHP Ankara Milletvekili,Wed Jun 25 20:53:00 +0000 2014,627,14585,654,137
2571645649,profdrihsanoglu,Ekmeleddin İhsanoğlu,Istanbul,"Türk Bilim Tarihi Profesörü, Akademisyen, Diplomat ve Yazar",Mon Jun 16 20:53:16 +0000 2014,18,225886,448,0
2563951645,gkozakisik,RüveydeGülseren Işık,,(http://t.co/LFadn7KIw3) (http://t.co/v51FBG0GRo) (rgulserenkozakisik@gmail.com) (http://t.co/TnxPoiz66W),Thu Jun 12 19:15:51 +0000 2014,38,312,115,11
2503871082,HARUNKARACA1,HARUN KARACA,TBMM,AK Parti İstanbul Milletvekili,Sun May 18 08:53:12 +0000 2014,422,9355,5717,12
2451423584,mbasesgiolu37,Murat Başesgioğlu,,"İçişleri, Devlet, Çalışma ve Sosyal Güvenlik Eski Bakanı, MHP İstanbul Milletvekili, BJK Kongre üyesi,Kastamonulu, Avukat,İki erkek çocuk babası",Fri Apr 18 14:13:49 +0000 2014,189,6589,552,72
2382170311,muslumdogan1959,MÜSLÜMDOĞAN,"Gölbaşı, Ankara",PİR SULTAN ABDAL DERNEKLERİ ESKi GENEL BAŞKANI /İZMİR Milletvekili,Mon Mar 10 13:40:50 +0000 2014,367,1244,533,22
2375316190,Suleyman9574,Süleyman KORKMAZ,Kayseri,MHP KAYSERİ MİLLETVEKİLİ,Sun Mar 02 08:58:42 +0000 2014,485,1117,75277,2776
2355368126,AYARHikmet,Hikmet AYAR,Rize,"Ak Parti Rize Milletvekili, Serbest Muhasebeci Mali Müşavir",Fri Feb 21 21:41:40 +0000 2014,585,5878,278,75
2343697842,abdurrahmanbask,Abdurrahman Başkan,"Tokat, Türkiye","MHP Tokat Milletvekili
Ziraat Mühendisi - Sanayici",Fri Feb 14 15:00:15 +0000 2014,90,1954,662,381
2343520519,cemil_seboy,Cemil Şeboy,(Resmi Hesabıdır),AK Parti İzmir 1. Bölge 3. Sıra Milletvekili Adayı,Fri Feb 14 12:32:21 +0000 2014,475,2154,365,24
2334924816,mehmetvarolmhp,Mehmet VAROL,,Memleket Sevdalısı,Sun Feb 09 10:51:45 +0000 2014,28,393,42,0
2322369373,DrOrhanErzurum,Orhan Erzurum,Giresun/TÜRKİYE,MHP Giresun Belediye Başkan Adayı,Sat Feb 01 13:56:33 +0000 2014,132,367,41,1
2320553958,aydinunal06,Aydın Ünal,,ANKARA MEBUSU,Fri Jan 31 09:59:41 +0000 2014,236,13705,618,5
2309002266,avaliozkaya,Ali Özkaya,"Ankara, Afyonkarahisar",Ak Parti Afyonkarahisar Milletvekili,Fri Jan 24 21:44:16 +0000 2014,745,3195,4098,80
2307397555,leylazanainfo,Leyla Zana,,"Halkların Demokratik Partisi 19. ve 24. dönem Amed, 25. dönem Agirî Milletvekili. Sakharov, Rafto ve Bruno Kreisky ödülleri sahibi. Tek resmi Twitter hesabıdır.",Thu Jan 23 23:25:46 +0000 2014,80,45369,228,2
2303813486,meminadiyaman,Mehmet Emin Adıyaman,,"HDP 25. Dönem Iğdır Milletvekili - Avukat- Halkların Demokratik Partisi
(Resmi Hesap)",Tue Jan 21 22:40:53 +0000 2014,15,122,56,13
2289619094,TumMehmet,Mehmet Tüm,,,Mon Jan 13 12:39:28 +0000 2014,11,340,3349,0
2270165869,yilmaz_ismet58,İsmet YILMAZ,Ankara-Sivas,"T.C. Milli Savunma Bakanı 
AK Parti Sivas Milletvekili",Tue Dec 31 09:49:45 +0000 2013,9,3656,0,0
2262866341,lutfielvan,Lütfi Elvan,,"Ulaştırma,Denizcilik ve Haberleşme Eski Bakanı / Antalya Milletvekili Resmi Twitter Hesabıdır.",Thu Dec 26 13:44:10 +0000 2013,22,10373,394,0
2261937564,Aysenurislam,Ayşenur İslam,,"Aile ve Sosyal Politikalar Bakanı, AK Parti Sakarya Milletvekili",Wed Dec 25 21:44:04 +0000 2013,57,53726,802,5
2261658546,mpyrzli,Av. Mahmut Poyrazlı,,TBMM 25. Dönem AK Parti Balıkesir Milletvekili,Wed Dec 25 16:38:03 +0000 2013,37,546,414,9
2244690269,YALCINKAYARIZA,Rıza YALÇINKAYA,Bartın,Cumhuriyet Halk Partisi Bartın Millet Vekili Bartın Belediye Başkan Adayı,Thu Dec 26 12:13:54 +0000 2013,53,291,1,0
2235177095,Seydiamca,Seyit EYYÜPOĞLU,,"19,20,23,24 ve 25. dönem Şanlıurfa Milletvekili.      AK PARTİ",Fri Dec 20 18:53:01 +0000 2013,94,12270,1365,120
2233223984,yasartuzun06,yasartuzun06,,CHP ÇANKAYA BELEDİYE BAŞKAN A. ADAYI,Fri Dec 06 16:25:34 +0000 2013,1401,404,25,0
2232989053,kamilaydinmhp,Prof.Dr.Kamil Aydın,Erzurum,Milliyetçi Hareket Partisi Erzurum Milletvekili Milliyetçi Hareket Partisi MYK Üyesi,Fri Dec 06 13:30:40 +0000 2013,743,8774,4177,1976
2202336802,AvFatmaBenli,Av Fatma BENLİ,,,Sat Nov 30 22:06:02 +0000 2013,428,1650,587,56
2198148154,ibrahimozdis01,İbrahim Özdiş,"Adana, Türkiye",25. DÖNEM CHP ADANA MİLLETVEKİLİ,Wed Nov 27 16:53:58 +0000 2013,608,850,710,293
2178290473,ErolDora,Erol Dora,,HDP Mardin Milletvekili,Wed Nov 06 15:27:55 +0000 2013,165,15352,298,0
2168472695,recepozel32,Recep Özel,,AK Parti Isparta Milletvekili,Mon Nov 04 19:44:29 +0000 2013,299,1836,815,5
